serial	lincRNA
1	LINC01361
2	RP11.475O6.1
3	RP11.46A10.2
4	RP5.858B6.1
5	RP11.439M11.1
6	AC011747.4
7	RP11.254F7.2
8	LINC01118
9	LINC01102
10	AC068057.1
11	AC096669.1
12	AC009404.2
13	AC007405.6
14	AC068196.1
15	AC093590.1
16	AC079610.2
17	RP11.459I19.1
18	AC009410.1
19	RP11.10C24.2
20	RP11.804H8.6
21	RP11.90K6.1
22	RP11.454C18.1
23	RP11.33A14.1
24	RP11.513G11.2
25	LINC00887
26	BMPR1B.AS1
27	RP11.499E18.1
28	RP11.553P9.3
29	RP11.290F5.2
30	LINC01018
31	RP11.343L5.2
32	RP11.455B3.1
33	EPB41L4A.AS2
34	RP11.434D11.4
35	LINC01485
36	LINC01574
37	RP1.40E16.9
38	CTA.14H9.5
39	HCG9
40	RP5.1120P11.3
41	LINC00472
42	RP11.121A8.1
43	LINC01007
44	RP11.2E11.5
45	AC083867.4
46	KBTBD11.OT1
47	CTD.2168K21.1
48	RP11.486M23.1
49	RP11.150O12.2
50	RP11.531A24.3
51	RP11.120I21.2
52	LINC00534
53	FLJ42969
54	KB.1471A8.1
55	LINC01235
56	LINC01502
57	MIR210HG
58	RP11.347E10.1
59	RP11.579D7.4
60	RP11.923I11.6
61	RP11.767I20.1
62	RP11.637A17.2
63	RP11.711C17.2
64	RP1.34H18.1
65	RP11.13A1.1
66	RP11.121E16.1
67	RP13.977J11.2
68	LINC00544
69	RP11.380B4.3
70	LINC00440
71	RP11.403A3.3
72	LINC00645
73	RP11.454K7.1
74	HIF1A.AS2
75	RP11.718G2.5
76	RP1.292L20.3
77	RP5.1021I20.2
78	KIAA0125
79	CTD.2129N1.1
80	AC144835.1
81	CTD.2270P14.5
82	RP11.481J2.2
83	RP11.700H13.1
84	RP11.615I2.6
85	FENDRR
86	RP11.676J12.9
87	CTC.281F24.1
88	RP11.589P10.5
89	LINC00324
90	CTC.297N7.9
91	FLJ35934
92	RP1.56K13.5
93	AC102948.2
94	RP11.13K12.5
95	LINC00470
96	CTD.2332E11.2
97	RP11.678G14.3
98	AC067968.3
99	CTD.3098H1.2
100	CTD.2619J13.19
101	RP5.1056H1.2
102	RP4.806M20.3
103	RP5.963E22.6
104	LINC00945
105	DGCR9
106	RP11.320G24.1
