Hugo_Symbol	GeneID
RP11-34P13.3	ENSG00000243485.3
FAM138A	ENSG00000237613.2
RP11-34P13.7	ENSG00000238009.5
RP11-34P13.8	ENSG00000239945.1
RP11-34P13.9	ENSG00000241599.1
AP006222.2	ENSG00000228463.7
RP5-857K21.15	ENSG00000236743.1
RP4-669L17.2	ENSG00000236601.1
RP4-669L17.10	ENSG00000237094.10
RP5-857K21.1	ENSG00000231709.1
RP5-857K21.2	ENSG00000235146.2
RP5-857K21.3	ENSG00000239664.2
RP5-857K21.4	ENSG00000230021.6
RP5-857K21.5	ENSG00000223659.1
RP11-206L10.3	ENSG00000235373.1
RP11-206L10.5	ENSG00000240618.1
RP11-206L10.2	ENSG00000228327.2
RP11-206L10.9	ENSG00000237491.7
FAM87B	ENSG00000177757.2
LINC00115	ENSG00000225880.5
FAM41C	ENSG00000230368.2
RP11-54O7.16	ENSG00000272438.1
RP11-54O7.1	ENSG00000230699.2
RP11-54O7.2	ENSG00000241180.1
RP11-54O7.3	ENSG00000223764.2
RP11-54O7.17	ENSG00000272512.1
RP11-54O7.18	ENSG00000273443.1
LINC01342	ENSG00000223823.1
RP11-465B22.8	ENSG00000272141.1
RP5-902P8.12	ENSG00000260179.1
RP5-902P8.10	ENSG00000230415.1
RP4-758J18.13	ENSG00000272455.1
RP4-758J18.10	ENSG00000225285.1
RP5-832C2.5	ENSG00000215014.4
RP11-181G12.4	ENSG00000234396.3
RP3-395M20.12	ENSG00000272449.1
RP3-395M20.9	ENSG00000228037.1
RP11-740P5.2	ENSG00000233234.1
RP11-740P5.3	ENSG00000231630.1
RP11-22L13.1	ENSG00000272235.1
RP11-168F9.2	ENSG00000272088.1
LINC01134	ENSG00000236423.4
LINC01346	ENSG00000233304.4
RP13-614K11.2	ENSG00000226374.1
RP5-1166F10.1	ENSG00000235054.1
RP1-37J18.1	ENSG00000227169.2
RP1-37J18.2	ENSG00000232596.1
RP11-542C10.1	ENSG00000231510.1
RP1-58B11.1	ENSG00000260972.1
RP11-154H17.1	ENSG00000236948.1
LINC00337	ENSG00000225077.2
RP11-242F24.1	ENSG00000228750.4
RP11-338N10.1	ENSG00000270171.1
RP11-338N10.2	ENSG00000270035.1
RP11-338N10.3	ENSG00000269978.1
RP11-431K24.1	ENSG00000238290.1
RP11-431K24.3	ENSG00000227634.1
RP11-431K24.4	ENSG00000233645.1
RP4-633I8.4	ENSG00000228423.2
RP3-510D11.1	ENSG00000228526.2
RP3-510D11.2	ENSG00000234546.2
RP13-392I16.1	ENSG00000235263.1
RP1-69M21.2	ENSG00000235643.1
RP5-888M10.2	ENSG00000229484.1
RP11-474O21.5	ENSG00000272482.1
RP5-845O24.8	ENSG00000228338.1
RP13-221M14.2	ENSG00000233336.1
RP11-219C24.10	ENSG00000228229.2
CTA-520D8.2	ENSG00000237445.2
RP11-344F13.1	ENSG00000231606.1
RP4-704D23.1	ENSG00000234593.1
RP3-467K16.4	ENSG00000228140.1
RP4-680D5.9	ENSG00000271742.1
RP4-798A10.2	ENSG00000226029.1
RP4-798A10.7	ENSG00000261135.1
RP4-798A10.4	ENSG00000224174.2
RP5-875O13.1	ENSG00000233421.4
RP5-1182A14.5	ENSG00000271732.1
CROCCP2	ENSG00000215908.6
RP1-163M9.7	ENSG00000279151.1
RP11-108M9.1	ENSG00000223643.5
RP11-108M9.2	ENSG00000230239.1
RP11-108M9.3	ENSG00000228549.3
RP11-108M9.4	ENSG00000238142.1
RP11-108M9.6	ENSG00000272426.1
RP11-380J14.1	ENSG00000204362.5
RP11-473A10.2	ENSG00000236648.1
RP11-174G17.2	ENSG00000261781.1
RP11-422P22.1	ENSG00000225387.1
RP3-340N1.2	ENSG00000227066.1
RP3-340N1.6	ENSG00000228105.1
LINC01141	ENSG00000236963.4
RP4-749H3.2	ENSG00000226487.1
RP11-293F5.1	ENSG00000236009.1
RP1-224A6.3	ENSG00000228397.1
LINC00339	ENSG00000218510.5
RP1-224A6.9	ENSG00000271840.1
LINC01355	ENSG00000261326.2
RP5-1057J7.7	ENSG00000271420.1
RP1-150O5.3	ENSG00000235052.1
RP11-10N16.2	ENSG00000230023.2
RP4-594I10.3	ENSG00000264443.1
RP11-84D1.2	ENSG00000261025.1
RP4-799D16.1	ENSG00000233755.1
RP3-465N24.6	ENSG00000272432.1
RP11-70P17.1	ENSG00000225643.1
RP4-752I6.1	ENSG00000241169.1
RP11-288L9.1	ENSG00000233975.1
RP5-1092A3.5	ENSG00000271398.1
RP11-442N24__B.1	ENSG00000229388.1
RNU11	ENSG00000270103.3
RP11-242O24.3	ENSG00000225750.1
RP3-437I16.1	ENSG00000230523.1
RP4-656G21.1	ENSG00000228176.1
RP11-111I12.1	ENSG00000233399.2
RP5-893G23.1	ENSG00000233372.1
RP4-591L5.1	ENSG00000236335.1
RP4-591L5.2	ENSG00000231949.1
RP5-1125N11.1	ENSG00000229607.1
RP1-65J11.1	ENSG00000223382.3
LINC01226	ENSG00000223907.1
RP11-84A19.2	ENSG00000203620.2
RP11-84A19.4	ENSG00000269967.1
RP4-534N18.2	ENSG00000228634.1
RP4-811H24.9	ENSG00000233775.1
RP11-415J8.7	ENSG00000270115.1
RP4-789D17.5	ENSG00000271914.1
RP5-1180C18.1	ENSG00000223944.1
RP5-884C9.2	ENSG00000224592.4
LINC01343	ENSG00000237290.1
RP11-329N22.1	ENSG00000238063.1
RP4-739H11.3	ENSG00000237899.1
RP11-399E6.1	ENSG00000235358.1
RP5-994D16.3	ENSG00000234917.2
RP5-994D16.11	ENSG00000274386.3
SLC2A1-AS1	ENSG00000227533.4
RP5-1198O20.4	ENSG00000230615.5
LINC01144	ENSG00000281912.1
LINC01398	ENSG00000224863.1
LINC00505	ENSG00000225667.1
CYP4A22-AS1	ENSG00000225506.2
RP11-543D5.1	ENSG00000227947.1
RP11-543D5.2	ENSG00000223814.1
RP11-330M19.1	ENSG00000225028.1
RP4-683M8.2	ENSG00000226133.4
RP11-193P11.3	ENSG00000231413.1
RP5-1024N4.2	ENSG00000223720.1
LINC01562	ENSG00000203356.2
RP11-25O10.2	ENSG00000272371.1
RP4-784A16.5	ENSG00000225675.2
RP11-117D22.1	ENSG00000226938.1
RP11-117D22.2	ENSG00000230138.1
RP4-705F19.1	ENSG00000232245.1
RP5-866L20.1	ENSG00000235741.1
RP11-101C11.1	ENSG00000231090.1
RP11-466L17.1	ENSG00000234810.1
RP11-90C4.1	ENSG00000233147.1
RP11-90C4.2	ENSG00000230250.1
RP11-90C4.3	ENSG00000233079.1
RP1-158P9.1	ENSG00000235612.1
RP11-504A18.1	ENSG00000260971.3
RP4-710M16.2	ENSG00000223956.1
RP6-102O10.1	ENSG00000227935.1
RP11-393I23.4	ENSG00000235038.1
LINC01135	ENSG00000234807.5
RP11-63G10.3	ENSG00000272226.1
RP11-63G10.2	ENSG00000231740.1
RP4-794H19.1	ENSG00000232453.4
LINC01358	ENSG00000230812.4
RP11-145M4.1	ENSG00000241042.1
RP11-145M4.2	ENSG00000235215.2
RP11-145M4.3	ENSG00000237352.2
RP11-470E16.2	ENSG00000281041.1
RP11-467C18.1	ENSG00000270457.1
RP4-782L23.1	ENSG00000231816.1
RP11-575B7.3	ENSG00000238242.1
RP11-776H12.1	ENSG00000226476.2
RP11-436K8.1	ENSG00000231252.1
